"UF";"COD_MUN";"NOME_MUN";"NUM_2025";"DEN_2025";"RES_2025";"ALCANCOU A META?";"RES";"METAS"
"PB";251440;"São José de Espinharas";38;35;109;"SIM";109;"ALCANÇOU"
"PB";251445;"São José dos Ramos";36;19;189;"SIM";189;"ALCANÇOU"
"PB";251450;"São José de Piranhas";114;135;84;"NÃO";84;"NÃO ALCANÇOU"
"PB";251455;"São José de Princesa";12;13;92;"SIM";92;"ALCANÇOU"
"PB";251460;"São José do Bonfim";29;14;207;"SIM";207;"ALCANÇOU"
"PB";251465;"São José do Brejo do Cruz";8;13;62;"NÃO";62;"NÃO ALCANÇOU"
"PB";251470;"São José do Sabugi";25;26;96;"SIM";96;"ALCANÇOU"
"PB";251480;"São José dos Cordeiros";19;18;106;"SIM";106;"ALCANÇOU"
"PB";251490;"São Mamede";66;78;85;"NÃO";85;"NÃO ALCANÇOU"
"PB";251500;"São Miguel de Taipu";55;37;149;"SIM";149;"ALCANÇOU"
"PB";251510;"São Sebastião de Lagoa de Roça";76;50;152;"SIM";152;"ALCANÇOU"
"PB";251520;"São Sebastião do Umbuzeiro";32;17;188;"SIM";188;"ALCANÇOU"
"PB";251530;"Sapé";353;336;105;"SIM";105;"ALCANÇOU"
"PB";251540;"São Vicente do Seridó";50;51;98;"SIM";98;"ALCANÇOU"
"PB";251550;"Serra Branca";122;95;128;"SIM";128;"ALCANÇOU"
"PB";251560;"Serra da Raiz";31;22;141;"SIM";141;"ALCANÇOU"
"PB";251570;"Serra Grande";22;21;105;"SIM";105;"ALCANÇOU"
"PB";251580;"Serra Redonda";75;53;142;"SIM";142;"ALCANÇOU"
"PB";251590;"Serraria";52;30;173;"SIM";173;"ALCANÇOU"
"PB";251593;"Sertãozinho";41;28;146;"SIM";146;"ALCANÇOU"
"PB";251597;"Sobrado";50;36;139;"SIM";139;"ALCANÇOU"
"PB";251600;"Solânea";250;215;116;"SIM";116;"ALCANÇOU"
"PB";251610;"Soledade";125;73;171;"SIM";171;"ALCANÇOU"
"PB";251615;"Sossêgo";13;12;108;"SIM";108;"ALCANÇOU"
"PB";251620;"Sousa";411;495;83;"NÃO";83;"NÃO ALCANÇOU"
"PB";251630;"Sumé";169;126;134;"SIM";134;"ALCANÇOU"
"PB";251640;"Tacima";66;55;120;"SIM";120;"ALCANÇOU"
"PB";251650;"Taperoá";130;98;133;"SIM";133;"ALCANÇOU"
"PB";251660;"Tavares";40;76;53;"NÃO";53;"NÃO ALCANÇOU"
"PB";251670;"Teixeira";106;86;123;"SIM";123;"ALCANÇOU"
"PB";251675;"Tenório";12;15;80;"NÃO";80;"NÃO ALCANÇOU"
"PB";251680;"Triunfo";54;45;120;"SIM";120;"ALCANÇOU"
"PB";251690;"Uiraúna";105;121;87;"NÃO";87;"NÃO ALCANÇOU"
"PB";251700;"Umbuzeiro";61;48;127;"SIM";127;"ALCANÇOU"
"PB";251710;"Várzea";21;16;131;"SIM";131;"ALCANÇOU"
"PB";251720;"Vieirópolis";27;27;100;"SIM";100;"ALCANÇOU"
"PB";251740;"Zabelê";9;8;113;"SIM";113;"ALCANÇOU"
"PE";260005;"Abreu e Lima";656;672;98;"SIM";98;"ALCANÇOU"
"PE";260010;"Afogados da Ingazeira";328;258;127;"SIM";127;"ALCANÇOU"
"PE";260020;"Afrânio";127;136;93;"SIM";93;"ALCANÇOU"
"PE";260030;"Agrestina";197;184;107;"SIM";107;"ALCANÇOU"
"PE";260040;"Água Preta";205;221;93;"SIM";93;"ALCANÇOU"
"PE";260050;"Águas Belas";368;236;156;"SIM";156;"ALCANÇOU"
